"transferor_name","transferor_regno","transferor_subno","transferee_name","transferee_regno","transferee_subno","date_vesting_declaration","date_property_transferred","date_merger_registered"
"Bristol-Dial-a-Ride","","","Bristol Dial-A-Ride Limited","1128593",0,"","2009-03-31","2012-04-01"
"British Airways 25 Year Club Benevolent Fund","272287",0,"British Airways Welfare and Benevolent Fund","282480",0,"","2009-03-25","2009-11-20"
"British Colostomy Association","298299",0,"Colostomy Association Limited","1113471",0,"","2007-12-31","2008-10-29"
"British Disabled Flying Association","1081804",0,"Aerobility","1149629",0,"","2012-12-31","2013-05-11"
"British Executive Service Overseas","268094",0,"Voluntary Service Overseas","313757",0,"","2016-05-19","2016-05-24"
"British Health Professionals in Rheumatology","1000668",0,"British Society for Rheumatology","1067124",0,"2013-04-25","2013-01-05","2013-09-05"
"British Journal of Anaesthesia","270484",0,"British Journal of Anaesthesia","1121817",0,"","2008-09-01","2008-12-02"
"British Motoring Sport Relief Fund","213939",0,"BRDC Benevolent Fund","1084173",0,"","2008-07-05","2008-01-07"
"British Retinitis Pigmentosa Society","271729",0,"RP Fighting Blindness","1153851",0,"2013-10-23","2013-12-31","2014-08-01"
"British Society for Music Therapy","260837",0,"British Association for Music Therapy","1137087",0,"","2011-06-04","2011-07-04"
"Britwell Project","292966",0,"Britwell Youth And Community Project","1170539",0,"","2017-01-04","2017-04-28"
"Broad Grace","1136670",0,"Broadgrace CIO","1171839",0,"2017-08-07","2017-01-09","2018-02-10"
"Broad Town Trust","309528",0,"Community Foundation For Wiltshire & Swindon","1123126",0,"","2015-11-16","2015-11-18"
"Broadhembury Memorial Hall","1000283",0,"Broadhembury Community Centre CIO","1156178",0,"","2014-01-04","2015-04-02"
"Broadhempston Village Hall And Playing Field","300785",0,"Broadhempston Village Hall And Playing Field Trust CIO","1154919",0,"2014-11-20","2015-11-02","2015-06-24"
"Brock Prize Fund","1125485","20","The Merchant Taylors' Schools Crosby","1125485",0,"","2009-04-29","2009-05-18"
"Brockwood Park Krishnamurti Educational Centre Ltd","307300",0,"Krishnamurti Foundation Trust Ltd","312865",0,"","2001-01-08","2009-09-06"
"Bromley Scope for People with Cerebal Palsy","212514",0,"Bromley Mencap Ltd","800685",0,"","2010-09-30","2011-08-23"
"Bromley Victim Support Scheme","1108399",0,"Victim Support","298028",0,"2008-01-04","2008-03-31","2009-11-26"
"Brook Advisory","1140431",0,"Brook Young People","703015",0,"","2013-09-30","2014-11-03"
"Brook Advisory Centre (Avon","900431",0,"Brook Young People","703015",0,"","2013-09-30","2014-11-03"
"Brook Advisory Centres","239966",0,"Brook Young People","703015",0,"","2013-09-30","2014-11-03"
"Brook Blackburn","1038795",0,"Brook Young People","703015",0,"","2013-09-30","2014-11-03"
"Brook Burnley","1002645",0,"Brook Young People","703015",0,"","2013-09-30","2014-11-03"
"Brook Cornwall","1024390",0,"Brook Young People","703015",0,"","2013-09-30","2014-11-03"
"Brook East of England","1038372",0,"Brook Young People","703015",0,"","2013-09-30","2014-11-03"
"Brook London","1013037",0,"Brook Young People","703015",0,"","2013-09-30","2014-11-03"
"Brook Manchester","1047859",0,"Brook Young People","703015",0,"","2013-09-30","2014-11-03"
"Brook Pennine","1037188",0,"Brook Young People","703015",0,"","2013-09-30","2014-11-03"
"Brook Sandwell and Dudley","1035931",0,"Brook Young People","703015",0,"","2013-09-30","2014-11-03"
"Brook Wigan and Leigh","1062384",0,"Brook Young People","703015",0,"","2013-09-30","2014-11-03"
"Brook Wirral","1015488",0,"Brook Young People","703015",0,"","2013-09-30","2014-11-03"
"Brook Birmingham","702584",0,"Brook Young People","703015",0,"","2013-09-30","2014-01-04"
"Brook Street Chapel","","","Brook Street Unitarian Chapel","1167088",0,"","2016-09-13","2016-09-26"
"Brooke Fund For Animals","207869",0,"The Brooke Hospital For Animals","","","","2002-03-28","2015-09-04"
"Brothers of the Sacred Heart","231733",0,"Brothers of the Sacred Heart","1146264",0,"","2012-07-31","2013-02-28"
"Broxtowe Crossroads Limited","1059082",0,"East Midlands Crossroads-Caring for Carers","1051649",0,"","2008-01-10","2009-07-12"
"Broxtowe Crossroads Limited","1059082",0,"East Midlands Crossorads - Caring For Carers","1051649",0,"","2008-09-29","2013-06-21"
"Buckinghamshire Association For The Blind","203345",0,"Bucksvision","1147814",0,"","2013-01-03","2014-09-26"
"Buckskin Evangelical Church","1082493",0,"Buckskin Evangelical Church","1145653",0,"2012-04-20","2012-04-20","2012-05-29"
"Bude New Life Centre","1139364",0,"Elim Foursquare Gospel Alliance","251549",0,"","2014-03-11","2014-07-11"
"Bude-Stratton Community Project","1045804",0,"Bude-Stratton Community Project","1172752",0,"2017-05-19","2017-05-19","2017-05-26"
"Build","264584",0,"Build Charity Limited","1147395",0,"","2012-01-07","2013-05-11"
"Building Bridges Interfaith Community Project","1078273",0,"Building Bridges Pendle","1144741",0,"","2012-01-04","2012-12-28"
"Burnley District Citizens' Advice Service","1089268",0,"Burnley & Pendle Citizens Advice Bureau","1111611",0,"","2011-01-04","2012-03-10"
"Bury Fellowship","1083464",0,"Bury Fellowship","1149072",0,"","2014-07-31","2014-05-12"
"Bury Hospice Association","514728",0,"Bury Hospice","1136843",0,"","2010-01-10","2010-10-14"
"Bury Hospice Limited","1071530",0,"Bury Hospice Association","514728",0,"","2008-03-31","2008-10-14"
"Butchers' And Drovers' Charitable Institution","296990",0,"Butchers And Drovers Charitable Institution","1155703",0,"","2014-03-04","2015-09-04"
"Cadogan Trust","518798",0,"Central Hardship and Relief Trust (CHART)","801465",0,"","2009-05-29","2009-05-29"
"Caldicot and District Citizens Advice Bureau","509977",0,"Caldicot and District Citizens Advice Bureau","1146688",0,"2012-09-30","2012-09-30","2014-03-21"
"Calvary Christian Fellowship","512376",0,"Calvary Christian Fellowship (Preston)","1135901",0,"2010-07-18","2010-01-11","2010-04-11"
"Calvary Christian Fellowship Trust","288847",0,"The New Life Church (Wimbledon) Trust","297047",0,"2012-10-16","2013-08-22","2013-08-22"
"Calvary Church","1050651",0,"Calvary Church (Haverfordwest)","1155470",0,"","2014-11-28","2015-06-15"
"Cambray Baptist Church, Cheltenham","1130141",0,"Cambray Baptist Church, Cheltenham","1156858",0,"2014-12-30","2014-12-30","2015-09-04"
"Camden Victim Support","1054692",0,"Victim Support","298028",0,"","2008-04-28","2009-11-26"
"Camelia Botnar Children's Centre","278732",0,"Camelia Botnar Children's Centre","1154939",0,"","2014-01-01","2015-06-23"
"Cameron Athan Boys' Club","303262",0,"The Jimmy Dixon Charitable Trust","1130915",0,"","2009-09-10","2013-07-17"
"Campaign To Protect Rural England (Leicestershire Branch)","258151",0,"The Campaign To Protect Rural England (CPRE) Leicestershire","1164985",0,"2016-03-22","2016-03-31","2016-06-23"
"Campaign To Protect Rural England Buckinghamshire Branch","211266",0,"Buckinghamshire Branch Of The Campaign To Protect Rural England","1163356",0,"","2016-01-04","2017-05-24"
"Cancer Information and Support Services","1039824",0,"Cancer Information and Support Services","1142883",0,"","2011-01-04","2011-10-06"
"Cancer Support (Dudley Metropolitan Borough)","519418",0,"White House Cancer Support Limited -","1141904",0,"","2011-10-31","2012-05-28"
"Cancercare Dorset Limited","1098806",0,"Weldmar Hospicecare Trust","1000414",0,"","2009-01-12","2009-12-22"
"Cancercare North Lancs and South Lakeland","516830",0,"Cancercare North Lancashire and South Lakeland","1120048",0,"","2008-11-07","2010-08-19"
"Cancerlink","326430",0,"Macmillan Cancer Support","261017",0,"","2001-06-14","2008-01-09"
"Cancervive","1125809",0,"Cancervive","1133541",0,"","2010-03-31","2010-08-04"
"Canford Heath Infant School PTA","1106659",0,"Patch","1117743",0,"","2016-11-25","2017-03-14"
"Canon Armour Reading Prize Fund","1125485","4","The Merchant Taylors' Schools Crosby","1125485",0,"","2009-04-29","2009-05-18"
"Canterbury Diocesan Board of Education","307885",0,"Canterbury Diocesan Board of Finance","249972",0,"","2013-12-31","2014-05-02"
"Capt Hon Playfair","210203","21","Royal Artillery Benevolent Fund","210202","19","","2008-01-01","2008-01-01"
"Captain Scholty","","","The Mission to Seafarers","212432",0,"","2009-06-04","2009-07-04"
"Carbon Leapfrog","1132778",0,"Pure the Clean Planet Trust","1112249",0,"","2013-01-05","2013-05-15"
"Cardiovascular Research Trust","1053551",0,"The Cardiovascular Research Trust","1139120",0,"","2011-01-07","2011-01-07"
"Care For The Wild International","288802",0,"The Born Free Foundation Limited","1070906",0,"2015-02-22","2015-01-31","2015-12-16"
"Careers Development Group","285251",0,"The Shaw Trust Limited","287785",0,"","2013-05-31","2014-03-20"
"Carlton-le-Moorland Relief In Need Charity","250826",0,"East Meadow Close Estate Charity","250858",0,"","2013-09-18","2013-09-20"
"Carmelite Education Trust","313135",0,"Carmelite Provincial Fund","284525",0,"2017-07-20","2017-08-25","2017-09-25"
"Carmelite Monastery, Liverpool, Chapel Trust","257520",0,"Chapel Trust Maryton Carmel","255659",0,"","2015-06-30","2015-04-12"
"Carmelite Monastery Chapel Trust","257379",0,"Chapel Trust Maryton Carmel","255659",0,"","2015-06-30","2015-04-12"
"Carrs Lane Church Centre","249617",0,"The Church At Carrs Lane","1153980",0,"","2014-06-27","2015-08-21"
"Carshalton Association For The Elderly","276415",0,"The Sutton Old People's Welfare Committee","284231",0,"2017-08-05","2017-01-12","2018-01-19"
"Castle Park School Fund","1076901",0,"William Hutson Junior School Fund","1075005",0,"","2010-06-22","2010-09-28"
"Cat Action Trust","274840",0,"Cat Action Trust","1063947",0,"","2009-01-20","2009-01-20"
"Catalyst NE","1009261",0,"Depaul UK","802834",0,"","2007-01-11","2009-08-26"
"Caterham Hill Congregational Church","","","Caterham Community Church","1163464",0,"2016-11-17","2016-11-17","2017-06-07"
"Cathedral Camps","286248",0,"Cathedral Camps Trust","1128518",0,"","2009-01-04","2010-01-10"
"Cathedral Camps Trust","1128518",0,"CSV","291222",0,"2012-02-22","2012-03-31","2012-04-26"
"Catholic Association For Racial Justice","291601",0,"Catholic Association For Racial Justice","1158338",0,"","2014-10-31","2014-10-11"
"Catholic Fund for Homeless and Destitute People","233439",0,"Catholic Fund for Homeless and Destitute","1110480",0,"","2007-12-18","2008-04-25"
"Catholic Housing Aid Society (Bradford)","244980",0,"St Vincent De Paul Society (England And Wales)","1053992",0,"2012-01-04","2012-01-04","2014-10-12"
"Catholic Women's League Bentinck House Trust","250084",0,"Catholic Women's League of England and Wales","250120",0,"","2010-01-12","2011-09-15"
"Catholic Women's League Club Committee","250120","2","Catholic Women's League of England and Wales CIO","1173138",0,"2017-06-30","2017-06-30","2017-11-09"
"Catholic Women's League of England and Wales","250120",0,"Catholic Women's League of England and Wales CIO","1173138",0,"2017-06-30","2017-06-30","2017-11-09"
"Catholic Women's League Relief and Refugee Committee","250120","1","Catholic Women's League of England and Wales CIO","1173138",0,"2017-06-30","2017-06-30","2017-11-09"
"Central African Missions","1049246",0,"CAM International","1153577",0,"","2014-02-28","2016-01-14"
"Central Walsall Housing Trust Limited","1108781",0,"Walsall Housing Group Limited","1108779",0,"","2009-12-01","2009-02-18"
"Centre 88","701141",0,"Hull Community and Voluntary Services","514311",0,"2012-05-04","2013-02-19","2013-02-19"
"Changemakers Foundation","1086178",0,"The Foyer Federation","1040482",0,"","2014-01-09","2015-05-03"
"Changing Paths Charitable Trust","1136261",0,"Changing Paths Charitable Trust","1145205",0,"","2012-03-31","2012-04-13"
"Chantry Young Mens Christian Association Incorporated","250207",0,"YMCA White Rose","243410",0,"","2012-06-10","2012-12-10"
"Chariot, The Colchester Community Bus Service","280147",0,"Colchester Community Voluntary Services","1092567",0,"","2015-09-18","2015-09-18"
"Charities Administered In Connection With Merchant Taylors' School","310016",0,"Merchant Taylors' Educational Trust","310018",0,"","2017-01-09","2017-11-09"
"Charities Administered In Connection With The Scots Guards","249900",0,"The Scots Guards Charity","1174691",0,"","2018-01-08","2018-08-30"
"Third Guards Fund For Officers","249900","1","The Scots Guards Charity","1174691",0,"","2018-01-08","2018-08-30"
"The Scots Guard Charitable Funds","249900","6","The Scots Guards Charity","1174691",0,"","2018-01-08","2018-08-30"
"Charities General for the Poor of the Drapers Company","209843",0,"The Draper's Consolidated Charity","209844",0,"","2012-01-31","2012-01-31"
"Charity Action for the Relief of Multiple Sclerosis","288153",0,"CHARMS The Essex Therapy Centre","1123446",0,"2008-02-05","2008-01-07","2008-09-07"
"Charity Administered in Connection With The Daughters Of Jesus","234925",0,"The Daughters Of Jesus CIO","1154248",0,"","2014-01-04","2014-10-17"
"Charity Consisting of Certain Trust Property","226168","2","OMF International (UK)","1086040",0,"","2009-01-07","2009-05-11"
"Charity For First Church Of Christ, Scientist, Leeds","236062",0,"Third Church Of Christ Scientist Leeds","1042811",0,"","2013-06-20","2014-05-23"
"Charity of David Tobias Gourlande","230854",0,"Thomas Arneway's Loan Charity","208537",0,"","2008-12-15","2009-08-01"
"Charity of Henry Rogers (or the Winsford Land)","204858",0,"Henry Rogers (Porlock) Charity","290787",0,"","2009-03-02","2009-03-02"
"Charity of Jane Miller Waller","241240",0,"Loughton Parochial Charities","211426",0,"","2009-01-04","2010-04-11"
"Charity of Mary Jemima Lawford for the Upkeep of the Memorial Chapel","252741",0,"The PCC of the Ecclesiastical Parish of St Barnabas'","1130239",0,"","2013-02-14","2013-02-15"
"Charity of Rebecca Hussey for Poor Prisoners (Rutland)","246234",0,"Charity of Rebecca Hussey for Poor Prisoners, Leicestershire","246235",0,"","2011-01-08","2011-01-08"
"Charity Of Robert Best In Connection With Oak Hall Mission","252123",0,"Oakhall Church, Caterham","1156069",0,"","2014-01-04","2014-02-05"
"Charity of Unkown Donor","256423",0,"Poor's Close","256417",0,"","2011-09-11","2011-09-11"
"Charity Trust of the Parish Clerks' Company of London","232002",0,"The Worshipful Company of Parish Clerks' Charity Incorporating the Signe Trust","327169",0,"2013-01-16","2013-01-16","2013-02-05"
"Charity Trustee Networks","1110979",0,"The Small Charities Coalition","1122297",0,"","2011-03-03","2012-01-31"
"Charlotte Wharton","244261",0,"Reverend Matthew Hutchinson's Gilling Charity","244261",0,"","2009-10-06","2009-06-30"
"Charterhouse In Southwark Endowment Fund","1070261",0,"Charterhouse-In-Southwark","208785",0,"","2010-10-14","2010-11-17"
"Cheadle Christian Fellowship (AOG)","1052542",0,"Bethel City Church","1052548",0,"2006-05-07","2009-04-11","2010-05-26"
"Checkendon Pre-School","1058371",0,"Checkendon Pre-School CIO","1156803",0,"","2015-01-09","2015-02-12"
"Chelmsford Presbyterian Church Trust","1103343",0,"Chelmsford Presbyterian Church","1160844",0,"","2015-09-06","2016-10-03"
"Chelsea And Westminster Health Charity","1067412",0,"CWPLUS","1169987",0,"","2017-01-01","2017-04-08"
"West Middlesex University Hospital Charitable Fund","1061153",0,"CWPLUS","1169987",0,"","2017-01-01","2017-04-08"
"Cheney Manor Trust","1011585",0,"Central Hardship and Relief Trust (CHART)","801465",0,"","2009-05-29","2009-05-29"
"Cherry Blossom Nursery","1015979",0,"St Michael's With Brooklands Young Explorers Childcare Provision","1122021",0,"","2014-01-07","2014-07-25"
"Cheshire Victim Support Scheme","508454",0,"Victim Support","298028",0,"","2008-05-28","2009-06-16"
"Cheshire West and Wirral Crossroads Ltd","1046953",0,"Crossroads Care Cheshire, Manchester & Merseyside Limited","1075268",0,"2013-09-27","2013-01-10","2013-08-11"
"CHGRMUPR Campaign","1062206",0,"The Chronic Granulomatous Disorder Research Trust","1003425",0,"","2011-03-31","2012-03-02"
"Chichester and District Citizens Advice Bureau","1002826",0,"Littlehampton & District Citizens Advice Bureau","1099640",0,"","2009-01-10","2009-11-20"
"Chichester Community Transport Limited","1096595",0,"Sammy Community Transport Limited","1089953",0,"","2012-01-04","2012-04-25"
"Children Webmag","1125887",0,"The Mulberry Bush Organisation Ltd","309565",0,"2016-12-10","2016-02-11","2016-07-11"
"Children with Leukaemia Charitable Trust","1035538",0,"Children with Cancer UK","298405",0,"","2008-05-08","2008-08-20"
"Children's Aid Direct","803236",0,"Concern Worldwide (UK)","1092236",0,"","2003-12-31","2008-04-28"
"Children's Heart Surgery Fund","700753",0,"Children's Heart Surgery Fund","1148359",0,"2012-01-09","2012-01-09","2014-08-15"
"Children's Hospices UK","1103795",0,"Together for Short Lives","1144022",0,"","2011-10-13","2011-12-21"
"Childrens Playlink","1085949",0,"The Brandon Trust","801571",0,"","2015-02-11","2016-07-20"
"Children's Right Alliance for England","1005135",0,"Just for Kids Law Limited","1121638",0,"2015-08-20","2015-05-08","2015-09-09"
"Childs Charitable Trust","234618",0,"Childs Charitable Trust","1153327",0,"","2015-01-30","2015-07-20"
"Child-To-Child Trust","327654",0,"Child-To-Child","1152010",0,"2014-01-31","2014-01-31","2015-05-18"
"Choices Community Trust","1137785",0,"Choices Community Trust","1149004",0,"","2014-11-26","2015-10-03"
"Christ Church (United Reformed) Leatherhead - Student Fund","234688",0,"Christ Church (United Reformed) Leatherhead","","","2010-04-29","2010-06-27","2010-06-28"
"Christ Church Liverpool (unregistered unincorporated charity)","","","Christ Church Liverpool","1125990",0,"","2009-01-01","2009-01-26"
