company_number,charity_number
CE001029,1156047
CE008779,1169152
CE013725,1177840
CE009269,1170583
CE009593,1171068
CE012655,1176266
CE014819,1179475
CE001566,1155153
CE010052,1172572
CE010493,1171924
CE006428,1166624
CE004121,1161663
CE009371,1170732
CE011013,1173333
CE014622,1179176
CE003334,1159372
CE007527,1167668
CE007191,1168533
CE011551,1175077
CE002580,1159829
CE007001,1166183
CE014139,1178447
CE012082,1174453
CE008795,1169177
CE010605,1172111
CE004577,1164007
CE006600,1166936
CE011910,1175447
CE003003,1160446
CE003927,1161318
CE007338,1167354
CE011767,1175797
CE005729,1164592
CE015903,1181156
CE012937,1176686
CE006818,1165880
CE001547,1155088
CE005111,1162804
CE015884,1181127
CE002220,1157729
CE005484,1164107
CE008856,1171209
CE005938,1164982
CE007818,1168144
CE002121,1157502
CE015268,1180145
CE013482,1177476
CE010726,1174176
CE015881,1181121
CE015483,1180482
CE010732,1174184
CE003018,1160476
CE010894,1173150
CE007640,1167852
CE006397,1167178
CE001287,1154263
CE005315,1165403
CE005125,1162823
CE005715,1164563
CE000613,1153063
CE012411,1175870
CE010830,1174340
CE000880,1156580
CE009977,1173020
CE010611,1172123
CE009411,1170796
CE002742,1160632
CE014874,1179550
CE008208,1170204
CE009225,1170511
CE013977,1178209
CE007866,1169241
CE009171,1170424
CE014885,1179565
CE001845,1156865
CE003331,1159368
CE005543,1164254
CE001664,1158316
CE013882,1178070
CE009324,1170664
CE015375,1180311
CE007376,1167421
CE011754,1175780
CE015989,1181275
CE004630,1163459
CE004610,1163426
CE013734,1177850
CE014033,1178282
CE003800,1161069
CE007576,1167742
CE001168,1156428
CE002853,1160140
CE002154,1157566
CE007413,1167478
CE007081,1168335
CE014102,1178390
CE002442,1159545
CE008597,1168848
CE006817,1165879
CE013310,1177232
CE012997,1176771
CE000385,1151876
CE004625,1163448
CE011944,1175504
CE007346,1167367
CE005116,1162810
CE011019,1173340
CE007788,1168096
CE004665,1163524
CE003863,1161209
CE011017,1173338
CE009550,1171001
CE004653,1163502
CE003897,1161268
CE013896,1178088
CE013632,1177695
CE000582,1152873
CE004045,1161524
