Scottish Charity Number,E&W Charity Number,Charity Name (E&W)
SC043163,1094586,The Drinkaware Trust
SC043174,1067361,The Quilters' Guild of the British Isles
SC043177,1146330,Alpha-1 UK Support Group
SC043181,1118674,Digital Pipeline
SC043186,1137068,Autism Ventures
SC043191,1075361,Over the Wall
SC043202,326684,Good News Trust
SC043237,1050944,The Pleasance Theatre Trust
SC043239,1059328,Frontier Youth Trust
SC043245,231508,The Royal Economic Society
SC043254,1096790,The Institution of Occupational Safety and Health
SC043324,1147344,The Unite Foundation
SC043340,1063614,Beating Bowel Cancer
SC043341,1002918,Soft UK
SC043343,292182,The Associated Board of the Royal Schools of Music
SC043344,1101030,Snow-Camp
SC043345,1108309,Harvest International Ministries
SC043383,293727,The Lifecare Charitable Trust
SC043396,1147449,The Police Treatment Centres
SC043414,1147400,The Costa Foundation
SC043441,1143342,Spuc Education and Research Trust
SC043446,1071663,Christian Vision for Men
SC043459,211348,The Suffolk Sheep Society
SC043470,1117249,Shannon Trust
SC043471,1146800,Seton Care
SC043473,1090515,Young Life International
SC043478,1109743,Ovarian Cancer Action
SC043510,1147603,Cauda Equina Syndrome UK Charity
SC043513,1145460,Children and Families Media Education Trust
SC043518,1058580,Justice
SC043537,1101849,Engineers Without Borders UK
SC043569,1046047,The Change Foundation
SC043576,1144342,Narcolepsy UK
SC043586,1147967,Armed Forces Bikers
SC043601,1114417,Equality Challenge Unit
SC043612,1042391,Community Security Trust
SC043637,1110415,Primary Care Diabetes Society
SC043642,1120146,James Whale Fund Limited
SC043667,1100325,Centre of Hope
SC043668,1118444,The Association for Perioperative Practice
SC043669,1009671,National Eczema Society
