RP Code,Company Number,Charity Number,Org ID
4872,RS007605,,GB-COH-RS007605
4691,IP031530,,GB-COH-IP031530
L4393,IP29573R,,GB-COH-IP29573R
A3910,,249812,GB-CHC-249812
LH1396,00247685,208155,GB-CHC-208155
C3299,IP23769R,,GB-COH-IP23769R
4690,07345564,,GB-COH-07345564
4765,07451258,,GB-COH-07451258
4664,07422670,,GB-COH-07422670
5153,09734876,,GB-COH-09734876
A0211,,200230,GB-CHC-200230
L4455,IP29876R,,GB-COH-IP29876R
42UB,,,GB-LAE-BAB
4773,IP26575R,,GB-COH-IP26575R
LH1647,IP13299R,,GB-COH-IP13299R
C2437,IP21858R,,GB-COH-IP21858R
L4534,IP27419R,,GB-COH-IP27419R
L0394,IP17761R,,GB-COH-IP17761R
L2518,IP18135R,,GB-COH-IP18135R
00CC,,,GB-LAE-BNS
C3339,IP023741,,GB-COH-IP023741
16UC,,,GB-LAE-BAR
22UB,,,GB-LAE-BAI
37UC,,,GB-LAE-BAE
5110,,,GB-LAE-BAS
LH1028,IP13216R,,GB-COH-IP13216R
C2198,IP21669R,,GB-COH-IP21669R
L0913,IP19529R,,GB-COH-IP19529R
C3993,IP27131R,,GB-COH-IP27131R
5117,,,GB-LAE-BDF
LH1649,IP14845R,,GB-COH-IP14845R
SL3463,IP24230R,,GB-COH-IP24230R
4807,IP032132,,GB-COH-IP032132
C1810,IP21590R,,GB-COH-IP21590R
C2873,IP22367R,,GB-COH-IP22367R
5071,RS008076,,GB-COH-RS008076
A3448,,232743,GB-CHC-232743
LH3766,02163894,297877,GB-CHC-297877
4868,RS007711,,GB-COH-RS007711
4718,07375502,1143046,GB-CHC-1143046
A3334,,244329,GB-CHC-244329
L1216,IP20771R,,GB-COH-IP20771R
L0976,RS017138,,GB-COH-RS017138
A3035,,205964,GB-CHC-205964
LH4401,,1104989,GB-CHC-1104989
H1696,01618610,284839,GB-CHC-284839
L1397,IP19460R,,GB-COH-IP19460R
C3127,RS023041,,GB-COH-RS023041
L1299,IP19269R,,GB-COH-IP19269R
00CN,,,GB-LAE-BIR
L1389,IP18430R,,GB-COH-IP18430R
L2889,IP22624R,,GB-COH-IP22624R
L1511,IP21155R,,GB-COH-IP21155R
L1668,IP21157R,,GB-COH-IP21157R
4639,05194135,1106198,GB-CHC-1106198
00EY,,,GB-LAE-BPL
