org_id_a,org_id_b,name
GB-SC-SC009674,GB-COH-SC123593,ABERDEEN CITIZENS ADVICE BUREAU
GB-SC-SC009738,GB-COH-SC116522,GWSSB
GB-SC-SC009769,GB-COH-SC270322,MIDLOTHIAN ADVICE & RESOURCE CENTRE
GB-SC-SC009828,GB-COH-SC268622,RSABI
GB-SC-SC009886,GB-COH-SC035577,ARDVRECK SCHOOL LIMITED
GB-SC-SC009898,GB-COH-SC396876,DEAF ACTION
GB-SC-SC009944,GB-COH-SC173582,EDINBURGH VOLUNTARY ORGANISATIONS COUNCIL
GB-SC-SC009988,GB-COH-SC200545,AVENUE CONFIDENTIAL
GB-SC-SC010036,GB-COH-SC087515,COMMUNITY ENTERPRISE IN SCOTLAND
GB-SC-SC010100,GB-COH-SC153343,AGE SCOTLAND
GB-SC-SC010113,GB-COH-SC200316,BERNERA COMMUNITY ASSOCIATION
GB-SC-SC010123,GB-COH-SC400899,ROXBURGH AND BERWICKSHIRE CITIZENS ADVICE BUREAU
GB-SC-SC010181,GB-COH-SC366403,PERTHSHIRE WOMEN'S AID
GB-SC-SC010186,GB-COH-SC299076,CAITHNESS AGRICULTURAL SOCIETY
GB-SC-SC010242,GB-COH-SC210194,HOME-START EAST FIFE
GB-SC-SC010250,GB-COH-SC112838,CLACKMANNANSHIRE HERITAGE TRUST
GB-SC-SC010314,GB-COH-SC539138,QUEEN'S HOUSE (KELSO) LIMITED
GB-SC-SC010315,GB-COH-04102768,BRITISH LIMBLESS EX-SERVICE MEN'S ASSOCIATION
GB-SC-SC010342,GB-COH-SC417097,HOPE! CHURCH
GB-SC-SC010344,GB-COH-SC269796,CUMBERNAULD & KILSYTH NURSERY AND OUT OF SCHOOL CARE LIMITED
GB-SC-SC010357,GB-COH-SC047152,CRANLEY SCHOOL LIMITED
GB-SC-SC010373,GB-COH-SC208570,CENTRAL SCOTLAND REGIONAL EQUALITY COUNCIL LIMITED
GB-SC-SC010387,GB-COH-SC091542,PENUMBRA
GB-SC-SC010404,GB-COH-SC121139,LANARKSHIRE ASSOCIATION FOR MENTAL HEALTH
GB-SC-SC010422,GB-COH-SC097502,FIFE ALCOHOL SUPPORT SERVICE
GB-SC-SC010430,GB-COH-SC141458,RAMH
GB-SC-SC010489,GB-COH-SC144696,SCOTTISH CHILDMINDING ASSOCIATION
GB-SC-SC010509,GB-COH-SC062065,THE ROYAL LYCEUM THEATRE COMPANY LIMITED
GB-SC-SC010575,GB-COH-SC092088,ASSEMBLY THEATRE LIMITED
GB-SC-SC010579,GB-COH-SC366260,STRATHAVEN TOWN MILL ARTS AND HERITAGE CENTRE
GB-SC-SC010605,GB-COH-SC111744,WEST LOTHIAN VOLUNTARY COUNCIL FOR DISABLED PEOPLE LIMITED
GB-SC-SC010691,GB-COH-SC143208,VOLUNTARY ACTION ORKNEY
GB-SC-SC010702,GB-COH-SC027809,ROYAL SCOTTISH NATIONAL ORCHESTRA SOCIETY LIMITED
GB-SC-SC010703,GB-COH-SC349976,STEWARTRY AGRICULTURAL SOCIETY
GB-SC-SC010817,GB-COH-SC042495,CRAIGCLOWAN SCHOOL LIMITED
GB-SC-SC010832,GB-COH-SC030531,THE PRINCE PHILIP GORDONSTOUN FOUNDATION LIMITED
GB-SC-SC010931,GB-COH-SC059485,MILLTOWN COMMUNITY LIMITED
GB-SC-SC010937,GB-COH-SC398219,STIRLING AND DISTRICT WOMEN'S AID
GB-SC-SC010980,GB-COH-SC332331,THE GIRLS' BRIGADE IN SCOTLAND
GB-SC-SC011002,GB-COH-SC037461,SEAMAB
GB-SC-SC011007,GB-COH-SC252797,THE ADAM CENTRE
GB-SC-SC011011,GB-COH-SC050819,FERNHILL SCHOOL LIMITED
GB-SC-SC011012,GB-COH-SC356717,DOWN'S SYNDROME SCOTLAND
GB-SC-SC011016,GB-COH-SC267258,THE FIFE AGRICULTURAL ASSOCIATION
GB-SC-SC011055,GB-COH-SC366380,THE TWEED FOUNDATION
GB-SC-SC011098,GB-COH-SC424071,THE COVE AND KILCREGGAN TRUST
GB-SC-SC011100,GB-COH-SC071328,LINLITHGOW UNION CANAL SOCIETY
GB-SC-SC011134,GB-COH-SC105457,RURAL & URBAN TRAINING SCHEME LIMITED
