org_id_a,org_id_b,org_name,relationship,source
GB-EDU-110534,GB-COH-07743646,WADDESDON CHURCH OF ENGLAND SCHOOL,sameas,Organisation company numbers
GB-EDU-110535,GB-COH-07690054,GREAT MARLOW SCHOOL,sameas,Organisation company numbers
GB-EDU-110545,GB-COH-00504032,PIPERS CORNER SCHOOL,sameas,Organisation company numbers
GB-EDU-110548,GB-COH-00187251,STOWE SCHOOL LIMITED,sameas,Organisation company numbers
GB-EDU-110573,GB-COH-07916763,ALFRISTON SCHOOL,sameas,Organisation company numbers
GB-EDU-110923,GB-COH-05977683,THE PERSE SCHOOL,sameas,Organisation company numbers
GB-EDU-110924,GB-COH-06113565,THE STEPHEN PERSE FOUNDATION,sameas,Organisation company numbers
GB-EDU-110925,GB-COH-04726427,KIMBOLTON SCHOOL,sameas,Organisation company numbers
GB-EDU-111028,GB-COH-08407889,WORTH PRIMARY SCHOOL,sameas,Organisation company numbers
GB-EDU-111398,GB-COH-08100578,NESTON HIGH SCHOOL,sameas,Organisation company numbers
GB-EDU-111406,GB-COH-07404747,SANDBACH HIGH SCHOOL AND SIXTH FORM COLLEGE,sameas,Organisation company numbers
GB-EDU-111455,GB-COH-07570395,THE BISHOPS' BLUE COAT CHURCH OF ENGLAND HIGH SCHOOL,sameas,Organisation company numbers
GB-EDU-111476,GB-COH-06486255,SANDBACH SCHOOL,sameas,Organisation company numbers
GB-EDU-111478,GB-COH-02659703,ALDERLEY EDGE SCHOOL FOR GIRLS,sameas,Organisation company numbers
GB-EDU-111483,GB-COH-01298683,CRANSLEY SCHOOL LIMITED,sameas,Organisation company numbers
GB-EDU-111767,GB-COH-00312473,RED HOUSE SCHOOL LIMITED,sameas,Organisation company numbers
GB-EDU-111768,GB-COH-00572205,TEESSIDE HIGH SCHOOL LIMITED,sameas,Organisation company numbers
GB-EDU-111769,GB-COH-04451356,YARM SCHOOL,sameas,Organisation company numbers
GB-EDU-111807,GB-COH-07713374,ST IVES INFANT SCHOOL,sameas,Organisation company numbers
GB-EDU-111842,GB-COH-07652476,TREWIRGIE JUNIOR SCHOOL,sameas,Organisation company numbers
GB-EDU-111953,GB-COH-07770592,HARROWBARROW SCHOOL,sameas,Organisation company numbers
GB-EDU-112044,GB-COH-07654298,PENRYN COLLEGE,sameas,Organisation company numbers
GB-EDU-112048,GB-COH-07999988,WADEBRIDGE SCHOOL,sameas,Organisation company numbers
GB-EDU-112049,GB-COH-07459742,BODMIN COLLEGE,sameas,Organisation company numbers
GB-EDU-112422,GB-COH-07729759,CASTLE CARROCK SCHOOL,sameas,Organisation company numbers
GB-EDU-112433,GB-COH-07715613,KIRKBY STEPHEN GRAMMAR SCHOOL,sameas,Organisation company numbers
GB-EDU-112434,GB-COH-07698461,APPLEBY GRAMMAR SCHOOL,sameas,Organisation company numbers
GB-EDU-112440,GB-COH-07680823,CALDEW SCHOOL,sameas,Organisation company numbers
GB-EDU-112444,GB-COH-06595861,ST BEES SCHOOL,sameas,Organisation company numbers
GB-EDU-112450,GB-COH-08963816,CHETWYNDE SCHOOL LIMITED,sameas,Organisation company numbers
GB-EDU-112451,GB-COH-03946280,SEDBERGH SCHOOL,sameas,Organisation company numbers
GB-EDU-112453,GB-COH-01894340,AUSTIN FRIARS,sameas,Organisation company numbers
GB-EDU-112459,GB-COH-03272341,HUNTER HALL SCHOOL,sameas,Organisation company numbers
GB-EDU-112986,GB-COH-07524069,THE ECCLESBOURNE SCHOOL,sameas,Organisation company numbers
GB-EDU-112997,GB-COH-07560177,WEST PARK SCHOOL,sameas,Organisation company numbers
